brush,diameter,path,length,variant,repeat,contacts,pages,pixel_contact_tests,cpu_prepare_ms,cpu_submit_ms,gpu_ms
GPen,32,curve,512,simple,15,103,3,7864320,0.363646,0.560937,4.204844
GPen,32,curve,512,contact,16,103,3,7864320,0.363646,0.398177,8.313541
GPen,32,curve,512,simple,16,103,3,7864320,0.363646,0.598125,4.212917
GPen,32,curve,512,merged,16,27,3,1966080,0.357032,0.407604,1.169323
GPen,32,curve,512,simple,17,103,3,7864320,0.363646,0.398750,4.207187
GPen,32,curve,512,merged,17,27,3,1966080,0.357032,0.402865,1.171094
GPen,32,curve,512,contact,17,103,3,7864320,0.363646,0.398281,8.302969
GPen,32,curve,512,merged,18,27,3,1966080,0.357032,0.595989,1.171146
GPen,32,curve,512,contact,18,103,3,7864320,0.363646,0.463906,8.307500
GPen,32,curve,512,simple,18,103,3,7864320,0.363646,0.631875,4.210156
GPen,32,curve,512,contact,19,103,3,7864320,0.363646,0.514010,8.307864
GPen,32,curve,512,simple,19,103,3,7864320,0.363646,0.584427,4.206406
GPen,32,curve,512,merged,19,27,3,1966080,0.357032,0.413437,1.175573
GPen,32,curve,512,simple,20,103,3,7864320,0.363646,0.475313,4.203125
GPen,32,curve,512,merged,20,27,3,1966080,0.357032,0.455989,1.168073
GPen,32,curve,512,contact,20,103,3,7864320,0.363646,0.534687,8.309479
GPen,32,curve,512,merged,21,27,3,1966080,0.357032,0.481146,1.173177
GPen,32,curve,512,contact,21,103,3,7864320,0.363646,0.539167,8.301875
GPen,32,curve,512,simple,21,103,3,7864320,0.363646,0.409948,4.196146
GPen,32,curve,512,contact,22,103,3,7864320,0.363646,0.841511,8.320208
GPen,32,curve,512,simple,22,103,3,7864320,0.363646,0.511823,4.201250
GPen,32,curve,512,merged,22,27,3,1966080,0.357032,0.409063,1.173125
GPen,32,curve,512,simple,23,103,3,7864320,0.363646,0.392031,4.207812
GPen,32,curve,512,merged,23,27,3,1966080,0.357032,0.658438,1.173073
GPen,32,curve,512,contact,23,103,3,7864320,0.363646,0.400364,8.321562
GPen,32,curve,512,merged,24,27,3,1966080,0.357032,0.516615,1.172656
GPen,32,curve,512,contact,24,103,3,7864320,0.363646,0.767708,8.300104
GPen,32,curve,512,simple,24,103,3,7864320,0.363646,0.515313,4.209323
GPen,32,curve,512,contact,25,103,3,7864320,0.363646,0.458489,8.290312
GPen,32,curve,512,simple,25,103,3,7864320,0.363646,0.510677,4.207083
GPen,32,curve,512,merged,25,27,3,1966080,0.357032,0.455208,1.173125
GPen,32,curve,512,simple,26,103,3,7864320,0.363646,0.387917,4.206250
GPen,32,curve,512,merged,26,27,3,1966080,0.357032,0.427240,1.171458
GPen,32,curve,512,contact,26,103,3,7864320,0.363646,0.380364,8.297604
GPen,32,curve,512,merged,27,27,3,1966080,0.357032,0.510052,1.171458
GPen,32,curve,512,contact,27,103,3,7864320,0.363646,0.527239,8.315052
GPen,32,curve,512,simple,27,103,3,7864320,0.363646,0.483698,4.203073
GPen,32,curve,512,contact,28,103,3,7864320,0.363646,0.444219,8.295989
GPen,32,curve,512,simple,28,103,3,7864320,0.363646,0.572031,4.217864
GPen,32,curve,512,merged,28,27,3,1966080,0.357032,0.414323,1.171771
GPen,32,curve,512,simple,29,103,3,7864320,0.363646,0.402604,4.215000
GPen,32,curve,512,merged,29,27,3,1966080,0.357032,0.613229,1.167812
GPen,32,curve,512,contact,29,103,3,7864320,0.363646,0.480729,8.306614
GPen,256,straight,512,merged,0,1,8,524288,0.243021,0.508542,0.749896
GPen,256,straight,512,contact,0,13,8,3670016,0.218750,0.443854,5.047500
GPen,256,straight,512,simple,0,13,8,3670016,0.218750,0.496667,2.339271
GPen,256,straight,512,contact,1,13,8,3670016,0.218750,0.397500,5.042500
GPen,256,straight,512,simple,1,13,8,3670016,0.218750,0.243594,2.257187
GPen,256,straight,512,merged,1,1,8,524288,0.243021,0.407605,0.740885
GPen,256,straight,512,simple,2,13,8,3670016,0.218750,0.357864,2.288542
GPen,256,straight,512,merged,2,1,8,524288,0.243021,0.397968,0.750469
GPen,256,straight,512,contact,2,13,8,3670016,0.218750,0.386823,5.034583
GPen,256,straight,512,merged,3,1,8,524288,0.243021,0.396927,0.745521
GPen,256,straight,512,contact,3,13,8,3670016,0.218750,0.397344,5.034792
GPen,256,straight,512,simple,3,13,8,3670016,0.218750,0.512813,2.316615
GPen,256,straight,512,contact,4,13,8,3670016,0.218750,0.484896,5.032135
GPen,256,straight,512,simple,4,13,8,3670016,0.218750,0.553958,2.320417
GPen,256,straight,512,merged,4,1,8,524288,0.243021,0.388646,0.748594
GPen,256,straight,512,simple,5,13,8,3670016,0.218750,0.370989,2.321667
GPen,256,straight,512,merged,5,1,8,524288,0.243021,0.375052,0.762552
GPen,256,straight,512,contact,5,13,8,3670016,0.218750,0.353854,5.032396
GPen,256,straight,512,merged,6,1,8,524288,0.243021,0.500104,0.761823
GPen,256,straight,512,contact,6,13,8,3670016,0.218750,2.227239,5.030364
GPen,256,straight,512,simple,6,13,8,3670016,0.218750,0.505417,2.318906
GPen,256,straight,512,contact,7,13,8,3670016,0.218750,0.457239,5.029792
GPen,256,straight,512,simple,7,13,8,3670016,0.218750,0.445625,2.316927
GPen,256,straight,512,merged,7,1,8,524288,0.243021,0.526406,0.757865
GPen,256,straight,512,simple,8,13,8,3670016,0.218750,0.402552,2.319479
GPen,256,straight,512,merged,8,1,8,524288,0.243021,0.375781,0.765312
GPen,256,straight,512,contact,8,13,8,3670016,0.218750,0.390521,5.028802
GPen,256,straight,512,merged,9,1,8,524288,0.243021,0.504063,0.772135
GPen,256,straight,512,contact,9,13,8,3670016,0.218750,0.384583,5.029739
GPen,256,straight,512,simple,9,13,8,3670016,0.218750,0.498021,2.317344
GPen,256,straight,512,contact,10,13,8,3670016,0.218750,0.381563,5.030260
GPen,256,straight,512,simple,10,13,8,3670016,0.218750,0.538750,2.320521
GPen,256,straight,512,merged,10,1,8,524288,0.243021,0.487084,0.766979
GPen,256,straight,512,simple,11,13,8,3670016,0.218750,0.409687,2.320729
GPen,256,straight,512,merged,11,1,8,524288,0.243021,0.410104,0.768125
GPen,256,straight,512,contact,11,13,8,3670016,0.218750,0.404740,5.039687
GPen,256,straight,512,merged,12,1,8,524288,0.243021,0.769427,0.744531
GPen,256,straight,512,contact,12,13,8,3670016,0.218750,0.414948,5.028958
GPen,256,straight,512,simple,12,13,8,3670016,0.218750,0.532760,2.317083
GPen,256,straight,512,contact,13,13,8,3670016,0.218750,0.397240,5.029687
GPen,256,straight,512,simple,13,13,8,3670016,0.218750,0.522552,2.313750
GPen,256,straight,512,merged,13,1,8,524288,0.243021,0.414167,0.753542
GPen,256,straight,512,simple,14,13,8,3670016,0.218750,0.392500,2.322083
GPen,256,straight,512,merged,14,1,8,524288,0.243021,0.385573,0.757760
GPen,256,straight,512,contact,14,13,8,3670016,0.218750,0.975365,5.033125
GPen,256,straight,512,merged,15,1,8,524288,0.243021,0.516927,0.753490
GPen,256,straight,512,contact,15,13,8,3670016,0.218750,0.401407,5.030156
GPen,256,straight,512,simple,15,13,8,3670016,0.218750,0.452343,2.316354
GPen,256,straight,512,contact,16,13,8,3670016,0.218750,0.395781,5.030052
GPen,256,straight,512,simple,16,13,8,3670016,0.218750,0.509271,2.314375
GPen,256,straight,512,merged,16,1,8,524288,0.243021,0.454896,0.750990
GPen,256,straight,512,simple,17,13,8,3670016,0.218750,0.398177,2.318490
GPen,256,straight,512,merged,17,1,8,524288,0.243021,0.460521,0.765156
GPen,256,straight,512,contact,17,13,8,3670016,0.218750,0.393906,5.033177
GPen,256,straight,512,merged,18,1,8,524288,0.243021,0.462448,0.755677
GPen,256,straight,512,contact,18,13,8,3670016,0.218750,0.667395,5.026927
GPen,256,straight,512,simple,18,13,8,3670016,0.218750,0.473125,2.318646
GPen,256,straight,512,contact,19,13,8,3670016,0.218750,0.511093,5.027864
GPen,256,straight,512,simple,19,13,8,3670016,0.218750,0.563594,2.319115
GPen,256,straight,512,merged,19,1,8,524288,0.243021,0.389115,0.766198
GPen,256,straight,512,simple,20,13,8,3670016,0.218750,0.387396,2.321406
GPen,256,straight,512,merged,20,1,8,524288,0.243021,0.400625,0.764687
GPen,256,straight,512,contact,20,13,8,3670016,0.218750,0.376666,5.027969
GPen,256,straight,512,merged,21,1,8,524288,0.243021,0.438958,0.763385
GPen,256,straight,512,contact,21,13,8,3670016,0.218750,0.384791,5.027292
GPen,256,straight,512,simple,21,13,8,3670016,0.218750,0.571407,2.318281
GPen,256,straight,512,contact,22,13,8,3670016,0.218750,0.744167,5.033385
GPen,256,straight,512,simple,22,13,8,3670016,0.218750,0.635261,2.319323
GPen,256,straight,512,merged,22,1,8,524288,0.243021,0.405365,0.764115
GPen,256,straight,512,simple,23,13,8,3670016,0.218750,0.389948,2.315677
GPen,256,straight,512,merged,23,1,8,524288,0.243021,0.396823,0.770781
GPen,256,straight,512,contact,23,13,8,3670016,0.218750,0.518750,5.038906
GPen,256,straight,512,merged,24,1,8,524288,0.243021,0.509375,0.772187
GPen,256,straight,512,contact,24,13,8,3670016,0.218750,0.457135,5.032708
GPen,256,straight,512,simple,24,13,8,3670016,0.218750,0.524532,2.319375
GPen,256,straight,512,contact,25,13,8,3670016,0.218750,0.388490,5.043906
GPen,256,straight,512,simple,25,13,8,3670016,0.218750,0.500313,2.318802
GPen,256,straight,512,merged,25,1,8,524288,0.243021,0.386875,0.760521
GPen,256,straight,512,simple,26,13,8,3670016,0.218750,0.393907,2.314062
GPen,256,straight,512,merged,26,1,8,524288,0.243021,0.477657,0.749427
GPen,256,straight,512,contact,26,13,8,3670016,0.218750,0.369792,5.028125
GPen,256,straight,512,merged,27,1,8,524288,0.243021,0.447188,0.757865
GPen,256,straight,512,contact,27,13,8,3670016,0.218750,0.376354,5.031771
GPen,256,straight,512,simple,27,13,8,3670016,0.218750,0.439636,2.314844
GPen,256,straight,512,contact,28,13,8,3670016,0.218750,0.352500,5.035729
GPen,256,straight,512,simple,28,13,8,3670016,0.218750,0.514844,2.319167
GPen,256,straight,512,merged,28,1,8,524288,0.243021,0.436510,0.753906
GPen,256,straight,512,simple,29,13,8,3670016,0.218750,0.401094,2.317604
GPen,256,straight,512,merged,29,1,8,524288,0.243021,0.384218,0.753594
GPen,256,straight,512,contact,29,13,8,3670016,0.218750,0.470521,5.029010
GPen,256,curve,512,merged,0,13,8,3670016,0.222135,0.512344,2.312344
GPen,256,curve,512,contact,0,14,8,3932160,0.259166,0.423854,5.387812
GPen,256,curve,512,simple,0,14,8,3932160,0.259166,0.408177,2.480625
GPen,256,curve,512,contact,1,14,8,3932160,0.259166,0.254063,5.383229
GPen,256,curve,512,simple,1,14,8,3932160,0.259166,0.296667,2.392240
GPen,256,curve,512,merged,1,13,8,3670016,0.222135,0.405521,2.310573
GPen,256,curve,512,simple,2,14,8,3932160,0.259166,0.423021,2.453333
GPen,256,curve,512,merged,2,13,8,3670016,0.222135,0.415937,2.313437
GPen,256,curve,512,contact,2,14,8,3932160,0.259166,0.649792,5.370989
GPen,256,curve,512,merged,3,13,8,3670016,0.222135,0.537708,2.317396
GPen,256,curve,512,contact,3,14,8,3932160,0.259166,0.494896,5.368750
GPen,256,curve,512,simple,3,14,8,3932160,0.259166,0.512083,2.458229
GPen,256,curve,512,contact,4,14,8,3932160,0.259166,0.452552,5.362656
GPen,256,curve,512,simple,4,14,8,3932160,0.259166,0.445312,2.447500
GPen,256,curve,512,merged,4,13,8,3670016,0.222135,0.620156,2.315521
GPen,256,curve,512,simple,5,14,8,3932160,0.259166,0.434218,2.454740
GPen,256,curve,512,merged,5,13,8,3670016,0.222135,0.399114,2.316250
GPen,256,curve,512,contact,5,14,8,3932160,0.259166,0.527344,5.368802
GPen,256,curve,512,merged,6,13,8,3670016,0.222135,0.516042,2.316719
GPen,256,curve,512,contact,6,14,8,3932160,0.259166,0.513073,5.365989
GPen,256,curve,512,simple,6,14,8,3932160,0.259166,0.469688,2.461719
GPen,256,curve,512,contact,7,14,8,3932160,0.259166,0.428958,5.364323
GPen,256,curve,512,simple,7,14,8,3932160,0.259166,0.459479,2.457031
GPen,256,curve,512,merged,7,13,8,3670016,0.222135,0.425312,2.319167
GPen,256,curve,512,simple,8,14,8,3932160,0.259166,0.578855,2.459687
GPen,256,curve,512,merged,8,13,8,3670016,0.222135,0.516979,2.316250
GPen,256,curve,512,contact,8,14,8,3932160,0.259166,0.493854,5.366146
GPen,256,curve,512,merged,9,13,8,3670016,0.222135,0.453490,2.315677
GPen,256,curve,512,contact,9,14,8,3932160,0.259166,0.409635,5.368646
GPen,256,curve,512,simple,9,14,8,3932160,0.259166,0.574115,2.458594
GPen,256,curve,512,contact,10,14,8,3932160,0.259166,0.530730,5.361614
GPen,256,curve,512,simple,10,14,8,3932160,0.259166,0.505573,2.454687
GPen,256,curve,512,merged,10,13,8,3670016,0.222135,0.548750,2.313542
GPen,256,curve,512,simple,11,14,8,3932160,0.259166,0.462292,2.451562
GPen,256,curve,512,merged,11,13,8,3670016,0.222135,0.459479,2.308385
GPen,256,curve,512,contact,11,14,8,3932160,0.259166,0.433333,5.365521
GPen,256,curve,512,merged,12,13,8,3670016,0.222135,0.657760,2.317708
GPen,256,curve,512,contact,12,14,8,3932160,0.259166,0.680573,5.367552
GPen,256,curve,512,simple,12,14,8,3932160,0.259166,0.408178,2.460833
GPen,256,curve,512,contact,13,14,8,3932160,0.259166,0.615573,5.362708
GPen,256,curve,512,simple,13,14,8,3932160,0.259166,0.511823,2.459115
GPen,256,curve,512,merged,13,13,8,3670016,0.222135,0.440677,2.310208
GPen,256,curve,512,simple,14,14,8,3932160,0.259166,0.427031,2.460625
GPen,256,curve,512,merged,14,13,8,3670016,0.222135,0.535521,2.318750
GPen,256,curve,512,contact,14,14,8,3932160,0.259166,0.473281,5.364114
GPen,256,curve,512,merged,15,13,8,3670016,0.222135,0.520104,2.316667
GPen,256,curve,512,contact,15,14,8,3932160,0.259166,0.503229,5.368021
